Status,#,Category,Criteria,Control Activities Specified by the Service Organization,Tests Applied by the Service Auditor,Changes
,224,Logical and Physical Access Controls,CC6.6,The antivirus software provider pushes updates to the installed antivirus software as new updates/signatures are available. ,Inspected the antivirus software configurations for a sample of workstations and servers and an example antivirus update log to determine that the antivirus software provider pushed updates to the installed antivirus software as new updates/signatures were available.,
,225,Logical and Physical Access Controls,CC6.6,The antivirus software is configured to scan workstations and servers on a in real-time.,Inspected the antivirus software configurations for a sample of workstations and servers to determine that the antivirus software was configured to scan workstations and servers on a in real-time.,
,226,Logical and Physical Access Controls,CC6.6,Data is stored in an encrypted format using software supporting the AES.,Inspected the encryption configurations for data at rest to determine that data was stored in an encrypted format using software supporting the AES.,
,227,Logical and Physical Access Controls,CC6.6,Use of removable media is prohibited by policy and system configuration except when authorized by management.,Inspected the removable media policies and procedures to determine that the use of removable media was prohibited by policy and system configuration except when authorized by management.,
,,,,,Inspected the removable media device configurations to determine that the use of removable media was prohibited by policy and system configurations except when authorized by management.,
,228,Logical and Physical Access Controls,CC6.7,Transmission of digital output beyond the boundary of the system is encrypted.,Inspected the encryption configurations for data in transit and digital certificates to determine that transmission of digital output beyond the boundary of the system was encrypted.,
,229,Logical and Physical Access Controls,CC6.7,Transmission of digital output beyond the boundary of the system is encrypted.,Inspected the encryption configurations for data in transit and digital certificates to determine that transmission of digital output beyond the boundary of the system was encrypted.,
,230,Logical and Physical Access Controls,CC6.7,iCIMS uses a third-party backup software to perform daily full backups of critical corporate servers and data. Data is encrypted in storage and during the replication process between cloud environments.,Inspected the backup replication configurations to determine that iCIMS used a third-party backup software to perform daily differential and weekly full backups of critical corporate servers and data. Data was encrypted in storage and during the replication process between cloud environments.,
,231,Logical and Physical Access Controls,CC6.7,The ability to recall backed up data is restricted to authorized personnel. ,Inquired of the GRC Team Contractor regarding recalling backed up data to determine that the ability to recall backed up data was restricted to authorized personnel. ,
,,,,,Inspected the listing of users with the ability to recall backup media from the third-party storage facility to determine that the ability to recall backed up data was restricted to authorized personnel. ,
,232,Logical and Physical Access Controls,CC6.7,TLS and other encryption technologies are used for defined points of connectivity. ,Inspected the encryption configurations and digital certificates to determine that TLS and other encryption technologies were used for defined points of connectivity.,
,233,Logical and Physical Access Controls,CC6.7,Server certificate-based authentication is used as part of the TLS encryption with a trusted certificate authority. ,Inspected the encryption configurations for data in transit and digital certificates to determine that server certificate-based authentication was used as part of the TLS encryption with a trusted certificate authority. ,
,234,Logical and Physical Access Controls,CC6.7,A firewall is in place to filter unauthorized inbound network traffic from the Internet. ,Inspected the network diagram to determine that a firewall was in place to filter unauthorized inbound network traffic from the Internet. ,
,,,,,Inspected the firewall rule sets for a sample of production servers to determine that a firewall was in place to filter unauthorized inbound network traffic from the Internet. ,
,235,Logical and Physical Access Controls,CC6.7,The firewall system is configured to deny any type of network connection that is not explicitly authorized by a firewall system rule. ,Inspected the firewall rule sets for a sample of production servers to determine that the firewall system was configured to deny any type of network connection that was not explicitly authorized by a firewall system rule. ,
,236,Logical and Physical Access Controls,CC6.7,NAT functionality is utilized to manage internal IP addresses.,Inspected the NAT configurations to determine that NAT functionality was utilized to manage internal IP addresses. ,
,237,Logical and Physical Access Controls,CC6.7,An IDS is utilized to analyze network events and report possible or actual network security breaches. ,Inspected the network diagram to determine that an IDS was utilized to analyze network events and report possible or actual network security breaches. ,
,,,,,Inspected the IDS configurations to determine that an IDS was utilized to analyze network events and report possible or actual network security breaches.,
,238,Logical and Physical Access Controls,CC6.7,The IDS is configured to notify personnel upon intrusion detection. ,Inspected the IDS notification configurations and an example alert notification to determine that the IDS was configured to notify personnel upon intrusion detection. ,
,239,Logical and Physical Access Controls,CC6.7,Data is stored in an encrypted format using software supporting the AES.,Inspected the encryption configurations for data at rest to determine that data was stored in an encrypted format using software supporting the AES.,
,240,Logical and Physical Access Controls,CC6.7,Use of removable media is prohibited by policy and system configuration except when authorized by management.,Inspected the removable media policies and procedures to determine that the use of removable media was prohibited by policy and system configuration except when authorized by management.,
,,,,,Inspected the removable media device configurations to determine that the use of removable media was prohibited by policy and system configurations except when authorized by management.,
,241,Logical and Physical Access Controls,CC6.8,The ability to install applications and software on workstations is restricted to authorized personnel.,Inquired of the GRC Team Contractor regarding the applications and software to determine that the ability to install applications and software on workstations was restricted to authorized personnel.,
,,,,,Inspected the denial notification to determine that a warning notification appeared when an employee attempted to download an application or software.,
,242,Logical and Physical Access Controls,CC6.8,The ability to migrate changes into the production environment is restricted to authorized and appropriate users. ,Inquired of the GRC Team Contractor regarding the change implementation process to determine that the ability to migrate changes into the production environment was restricted to authorized and appropriate users. ,
,,,,,Inspected the listing of users with the ability to implement changes into the production environment to determine that the ability to migrate changes into the production environment was restricted to authorized and appropriate users. ,
,243,Logical and Physical Access Controls,CC6.8,FIM software is utilized to help detect unauthorized changes within the production environment. ,Inspected the FIM software to determine that FIM software was utilized to help detect unauthorized changes within the production environment.,
,244,Logical and Physical Access Controls,CC6.8,The FIM software is configured to notify IT personnel via e-mail alert when a change to the production application code files is detected. ,Inspected the FIM software and an example alert generated from the FIM software to determine that the FIM software was configured to notify IT personnel via e-mail alert when a change to the production application code files was detected. ,
,245,Logical and Physical Access Controls,CC6.8,Documented change control policies and procedures are in place to guide personnel in the change management process.,Inspected the change management policies and procedures to determine that documented change control policies and procedures were in place to guide personnel in the change management process.,
,246,Logical and Physical Access Controls,CC6.8,Antivirus software is installed on workstations and servers to detect and prevent the transmission of data or files that contain certain virus signatures recognized by the antivirus software. ,Inspected the antivirus software configurations for a sample of workstations and servers to determine that antivirus software was installed on workstations and servers to detect and prevent the transmission of data or files that contained certain virus signatures recognized by the antivirus software.,
,247,Logical and Physical Access Controls,CC6.8,The antivirus software provider pushes updates to the installed antivirus software as new updates/signatures are available. ,Inspected the antivirus software configurations for a sample of workstations and servers and an example antivirus update log to determine that the antivirus software provider pushed updates to the installed antivirus software as new updates/signatures were available.,
,248,Logical and Physical Access Controls,CC6.8,The antivirus software is configured to scan workstations and servers on a in real-time.,Inspected the antivirus software configurations for a sample of workstations and servers to determine that the antivirus software was configured to scan workstations and servers on a in real-time.,
,249,System Operations,CC7.1,Management has defined configuration standards in the information security policies and procedures.,Inspected the system configuration standards to determine that management had defined configuration standards in the information security policies and procedures.,
,250,System Operations,CC7.1,"Policies and procedures are in place regarding the detection, logging, and monitoring of unknown or unauthorized components into the environment.","Inspected the information security, incident management, and logging policies and procedures to determine that policies and procedures were in place regarding the detection, logging, and monitoring of unknown or unauthorized components into the environment.",
,251,System Operations,CC7.1,"Monitoring software is used to identify and evaluate ongoing system performance, capacity, security threats, changing resource utilization needs and unusual system activity.","Inspected the monitoring tool configurations, the antivirus software settings, the FIM software configurations, the IDS configurations, SIEM tool dashboard and the firewall rule sets to determine that monitoring software was used to identify and evaluate ongoing system performance, capacity, security threats, changing resource utilization needs and unusual system activity.",
,252,System Operations,CC7.1,The monitoring software is configured to alert IT personnel when thresholds have been exceeded.,"Inspected the monitoring tool configurations and an example monitoring system alert, the FIM notification configurations and an example alert generated from the FIM software, the IDS notification configurations and an example IDS alert notification to determine that the monitoring software was configured to alert IT personnel when thresholds were exceeded.",
,253,System Operations,CC7.1,An IDS is utilized to analyze network events and report possible or actual network security breaches. ,Inspected the network diagram to determine that an IDS was utilized to analyze network events and report possible or actual network security breaches. ,
,,,,,Inspected the IDS configurations to determine that an IDS was utilized to analyze network events and report possible or actual network security breaches.,
,254,System Operations,CC7.1,The IDS is configured to notify personnel upon intrusion detection. ,Inspected the IDS notification configurations and an example alert notification to determine that the IDS was configured to notify personnel upon intrusion detection. ,
,255,System Operations,CC7.1,FIM software is utilized to help detect unauthorized changes within the production environment. ,Inspected the FIM software to determine that FIM software was utilized to help detect unauthorized changes within the production environment.,
,256,System Operations,CC7.1,The FIM software is configured to notify IT personnel via e-mail alert when a change to the production application code files is detected. ,Inspected the FIM software and an example alert generated from the FIM software to determine that the FIM software was configured to notify IT personnel via e-mail alert when a change to the production application code files was detected. ,
,257,System Operations,CC7.1,Use of removable media is prohibited by policy and system configuration except when authorized by management.,Inspected the removable media policies and procedures to determine that the use of removable media was prohibited by policy and system configuration except when authorized by management.,
,,,,,Inspected the removable media device configurations to determine that the use of removable media was prohibited by policy and system configurations except when authorized by management.,
,258,System Operations,CC7.1,A firewall is in place to filter unauthorized inbound network traffic from the Internet. ,Inspected the network diagram to determine that a firewall was in place to filter unauthorized inbound network traffic from the Internet. ,
,,,,,Inspected the firewall rule sets for a sample of production servers to determine that a firewall was in place to filter unauthorized inbound network traffic from the Internet. ,
,259,System Operations,CC7.1,The firewall system is configured to deny any type of network connection that is not explicitly authorized by a firewall system rule. ,Inspected the firewall rule sets for a sample of production servers to determine that the firewall system was configured to deny any type of network connection that was not explicitly authorized by a firewall system rule. ,
,260,System Operations,CC7.1,"Vulnerability scans are performed continually, and remedial actions are taken where necessary.","Inspected the completed vulnerability scan dashboard to determine that vulnerability scans were performed continually, and remedial actions were taken where necessary.",
,,,,,"Inspected the supporting ticket for a sample of vulnerabilities identified by the vulnerability scans to determine that vulnerability scans were performed continually, and remedial actions were taken where necessary.",
,261,System Operations,CC7.1,A third party performs a web application penetration test annually to identify and exploit vulnerabilities identified within the environment.,Inspected the completed penetration test report to determine that a third party performed a web application penetration test annually to identify and exploit vulnerabilities identified within the environment.,
,262,System Operations,CC7.2,"Documented incident response and escalation procedures for reporting security incidents are in place to guide users in identifying, reporting and mitigating failures, incidents, concerns, and other complaints. ","Inspected the incident response policies and procedures to determine that documented incident response and escalation procedures for reporting security incidents were in place to guide users in identifying, reporting and mitigating failures, incidents, concerns, and other complaints. ",
,263,System Operations,CC7.2,"Policies and procedures are in place regarding the detection, logging, and monitoring of unknown or unauthorized components into the environment.","Inspected the information security, incident management, and logging policies and procedures to determine that policies and procedures were in place regarding the detection, logging, and monitoring of unknown or unauthorized components into the environment.",
,264,System Operations,CC7.2,"Monitoring software is used to identify and evaluate ongoing system performance, capacity, security threats, changing resource utilization needs and unusual system activity.","Inspected the monitoring tool configurations, the antivirus software settings, the FIM software configurations, the IDS configurations, SIEM tool dashboard and the firewall rule sets to determine that monitoring software was used to identify and evaluate ongoing system performance, capacity, security threats, changing resource utilization needs and unusual system activity.",
,265,System Operations,CC7.2,The monitoring software is configured to alert IT personnel when thresholds have been exceeded.,"Inspected the monitoring tool configurations and an example monitoring system alert, the FIM notification configurations and an example alert generated from the FIM software, the IDS notification configurations and an example IDS alert notification to determine that the monitoring software was configured to alert IT personnel when thresholds were exceeded.",
,266,System Operations,CC7.2,An IDS is utilized to analyze network events and report possible or actual network security breaches. ,Inspected the network diagram to determine that an IDS was utilized to analyze network events and report possible or actual network security breaches. ,
,,,,,Inspected the IDS configurations to determine that an IDS was utilized to analyze network events and report possible or actual network security breaches.,
,267,System Operations,CC7.2,The IDS is configured to notify personnel upon intrusion detection. ,Inspected the IDS notification configurations and an example alert notification to determine that the IDS was configured to notify personnel upon intrusion detection. ,
,268,System Operations,CC7.2,FIM software is utilized to help detect unauthorized changes within the production environment. ,Inspected the FIM software to determine that FIM software was utilized to help detect unauthorized changes within the production environment.,
,269,System Operations,CC7.2,The FIM software is configured to notify IT personnel via e-mail alert when a change to the production application code files is detected. ,Inspected the FIM software and an example alert generated from the FIM software to determine that the FIM software was configured to notify IT personnel via e-mail alert when a change to the production application code files was detected. ,
,270,System Operations,CC7.2,A firewall is in place to filter unauthorized inbound network traffic from the Internet. ,Inspected the network diagram to determine that a firewall was in place to filter unauthorized inbound network traffic from the Internet. ,
,,,,,Inspected the firewall rule sets for a sample of production servers to determine that a firewall was in place to filter unauthorized inbound network traffic from the Internet. ,
,271,System Operations,CC7.2,The firewall system is configured to deny any type of network connection that is not explicitly authorized by a firewall system rule. ,Inspected the firewall rule sets for a sample of production servers to determine that the firewall system was configured to deny any type of network connection that was not explicitly authorized by a firewall system rule. ,
,272,System Operations,CC7.2,Antivirus software is installed on workstations and servers to detect and prevent the transmission of data or files that contain certain virus signatures recognized by the antivirus software. ,Inspected the antivirus software configurations for a sample of workstations and servers to determine that antivirus software was installed on workstations and servers to detect and prevent the transmission of data or files that contained certain virus signatures recognized by the antivirus software.,
,273,System Operations,CC7.2,The antivirus software provider pushes updates to the installed antivirus software as new updates/signatures are available. ,Inspected the antivirus software configurations for a sample of workstations and servers and an example antivirus update log to determine that the antivirus software provider pushed updates to the installed antivirus software as new updates/signatures were available.,
,274,System Operations,CC7.2,The antivirus software is configured to scan workstations and servers on a in real-time.,Inspected the antivirus software configurations for a sample of workstations and servers to determine that the antivirus software was configured to scan workstations and servers on a in real-time.,
,275,System Operations,CC7.2,Use of removable media is prohibited by policy and system configuration except when authorized by management.,Inspected the removable media policies and procedures to determine that the use of removable media was prohibited by policy and system configuration except when authorized by management.,
,,,,,Inspected the removable media device configurations to determine that the use of removable media was prohibited by policy and system configurations except when authorized by management.,
Physical,,,,,,
,276,System Operations,CC7.2,The badge access system logs successful and failed physical access attempts. The logs can be pulled for review if necessary. ,"Inquired of the GRC Team Contractor regarding badge access attempts to determine that the badge access system logged successful and failed access attempts, and that the logs could be pulled for review if necessary. ",
,,,,,"Inspected the badge access system configurations and an example badge access log to determine that the badge access system logged successful and failed access attempts, and that the logs could be pulled for review if necessary. ",
Internal Network - Okta,,,,,,
,277,System Operations,CC7.2,"Network account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset","Inspected the network account lockout configurations to determine that network account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset",
,278,System Operations,CC7.2,"Network audit logging configurations are in place that include:
•	Logon events
•	Privilege use
•	System events
•	Security events ","Inspected the network audit logging configurations and an example network audit log extract to determine that network audit logging configurations were in place that included:
•	Logon events
•	Privilege use
•	System eventя
•	Security events ",
,279,System Operations,CC7.2,Network audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the network audit logs to determine that network audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example network audit log extract to determine that network audit logs were maintained and available for review when needed. ,
"Production Network - AWS, Azure",,,,,,
,280,System Operations,CC7.2,"Production network account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset","Inspected the production network account lockout configurations to determine that production network account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset",
,281,System Operations,CC7.2,"Production network audit logging configurations are in place that include:
•	Logon events
•	Privilege use
•	System events
•	Security events","Inspected the production network audit logging configurations and an example production network audit log extract to determine that production network audit logging configurations were in place that included:
•	Logon events
•	Privilege use
•	System events
•	Security events",
,282,System Operations,CC7.2,Production network audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the production network audit logs to determine that production network audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example production network audit log extract to determine that production network audit logs were maintained and available for review when needed. ,
"Production Servers - Windows, Linux",,,,,,
,283,System Operations,CC7.2,"Production server account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset","Inspected the account lockout configurations for a sample of production servers to determine that production server account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset",
,284,System Operations,CC7.2,"Production server audit logging configurations are in place that include:
•	Access events
•	API events
•	System events","Inspected the production server audit logging configurations and an example production server audit log extract to determine that production server audit logging configurations were in place that included:
•	Access events
•	API events
•	System events",
,285,System Operations,CC7.2,Production server audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the production server audit logs to determine that production server audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example production server audit log extract to determine that production server audit logs were maintained and available for review when needed. ,
Production Databases - Amazon RDS,,,,,,
,286,System Operations,CC7.2,"Production database account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold","Inspected the account lockout configurations for a sample of production databases to determine that production database account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold",
,287,System Operations,CC7.2,Production database audit logging configurations are in place to log user activity and system events.,Inspected the production database audit logging configurations and an example production database audit log extract to determine that production database audit logging configurations were in place to log user activity and system events.,
,288,System Operations,CC7.2,Production database audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the production databases audit logs to determine that the production database audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example production database audit log extract to determine that production database audit logs were maintained and available for review when needed. ,
Production Application - Talent Cloud,,,,,,
,289,System Operations,CC7.2,"Production application account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold","Inspected the production application account lockout configurations to determine that production application account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold",
,290,System Operations,CC7.2,Production application audit logging configurations are in place to log user activity and system events.,Inspected the production application audit logging configurations and an example production application audit log extract to determine that production application audit logging configurations were in place to log user activity and system events.,
,291,System Operations,CC7.2,Production application audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the production application audit logs to determine that production application audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example production application audit log extract to determine that production application audit logs were maintained and available for review when needed. ,
,292,System Operations,CC7.3,"Documented incident response and escalation procedures for reporting security incidents are in place to guide users in identifying, reporting and mitigating failures, incidents, concerns, and other complaints. ","Inspected the incident response policies and procedures to determine that documented incident response and escalation procedures for reporting security incidents were in place to guide users in identifying, reporting and mitigating failures, incidents, concerns, and other complaints. ",
,293,System Operations,CC7.3,The incident response and escalation procedures are reviewed annually for effectiveness.,Inspected the revision history of the incident response policies and procedures to determine that the incident response and escalation procedures were reviewed annually for effectiveness.,
,294,System Operations,CC7.3,The incident response policies and procedures define the classification of incidents based on severity.,Inspected the incident response policies and procedures to determine that the incident response policies and procedures defined the classification of incidents based on severity.,
,295,System Operations,CC7.3,Incidents are documented and tracked in a standardized ticketing system and updated to reflect the planned incident and problem resolution.,Inspected the supporting incident ticket for a sample of incidents to determine that incidents were documented and tracked in a standardized ticketing system and updated to reflect the planned incident and problem resolution.,
,296,System Operations,CC7.3,Resolution of incidents are documented within the ticket and communicated to affected users.,Inspected the supporting incident ticket for a sample of incidents to determine that resolution of incidents were documented within the ticket and communicated to affected users.,
,297,System Operations,CC7.3,"A security incident analysis is performed for critical incidents to determine the root cause, system impact and resolution.","Inspected the security incident analysis for a sample of critical security incidents to determine that a security incident analysis was performed for critical incidents to determine the root cause, system impact and resolution.",
,298,System Operations,CC7.3,Incidents resulting in the unauthorized use or disclosure of personal information are communicated to the affected users., Inquired of the GRC Team Contractor regarding incidents to determine that incidents resulting in the unauthorized use or disclosure of personal information were communicated to the affected users.,
,,,,,Inspected the incident response policy and procedures to determine that incidents resulting in the unauthorized use or disclosure of personal information were communicated to the affected users.,
,,,,,Inspected the supporting communication e-mails for a sample of critical security incidents that resulted in the unauthorized disclosure of personal information to determine that incidents resulting in the unauthorized use or disclosure of personal information were communicated to the affected users.,
,299,System Operations,CC7.3,"Identified incidents are evaluated to determine whether:
•	They resulted in the unauthorized disclosure or use of personal information
•	There has been a failure to comply with applicable laws or regulations","Inspected the incident response policies and procedures and the privacy policies and procedures to determine that identified incidents were evaluated to determine whether:
•	They resulted in the unauthorized disclosure or use of personal information
•	There had been a failure to comply with applicable laws or regulations",
,,,,,"Inspected the supporting communication for a sample of critical security incidents to determine that identified incidents were evaluated to determine whether:
•	They resulted in the unauthorized disclosure or use of personal information
•	There had been a failure to comply with applicable laws or regulations",
,300,System Operations,CC7.4,"Roles and responsibilities for the design, implementation, maintenance, and execution of the incident response program are defined and documented.","Inspected the incident response policies and procedures to determine that roles and responsibilities for the design, implementation, maintenance, and execution of the incident response program were defined and documented.",
,301,System Operations,CC7.4,"Documented incident response and escalation procedures for reporting security incidents are in place to guide users in identifying, reporting and mitigating failures, incidents, concerns, and other complaints.","Inspected the incident response policies and procedures to determine that documented incident response and escalation procedures for reporting security incidents were in place to guide users in identifying, reporting and mitigating failures, incidents, concerns, and other complaints. ",
,302,System Operations,CC7.4,Incidents are documented and tracked in a standardized ticketing system and updated to reflect the planned incident and problem resolution.,Inspected the supporting incident ticket for a sample of incidents to determine that incidents were documented and tracked in a standardized ticketing system and updated to reflect the planned incident and problem resolution.,
,303,System Operations,CC7.4,The actions taken to address identified security incidents are documented and communicated to affected parties.,Inspected the supporting incident ticket for a sample of incidents to determine that the actions taken to address identified security incidents were documented and communicated to affected parties.,
,304,System Operations,CC7.4,Resolution of incidents are documented within the ticket and communicated to affected users.,Inspected the supporting incident ticket for a sample of incidents to determine that resolution of incidents were documented within the ticket and communicated to affected users.,
,305,System Operations,CC7.4,"A security incident analysis is performed for critical incidents to determine the root cause, system impact and resolution.","Inspected the security incident analysis for a sample of critical security incidents to determine that a security incident analysis was performed for critical incidents to determine the root cause, system impact and resolution.",
,306,System Operations,CC7.4,"The risks associated with identified vulnerabilities are addressed using one of the following strategies:
•	Avoid the risk
•	Mitigate the risk
•	Transfer the risk
•	Accept the risk","Inspected the supporting incident ticket for a sample of vulnerabilities identified from a vulnerability scan or penetration test to determine that the risks associated with the identified vulnerability were addressed using one of the following strategies:
•	Avoid the risk
•	Mitigate the risk
•	Transfer the risk
•	Accept the risk",
,,,,,"Inspected the completed risk assessment to determine that the risks associated with identified vulnerabilities were addressed using one of the following strategies:
•	Avoid the risk
•	Mitigate the risk
•	Transfer the risk
•	Accept the risk",
,307,System Operations,CC7.4,"Management reviews reports on an annual basis summarizing incidents, root cause of incidents, and corrective action plans and as part of the review, management identifies the need for system changes and implementation of additional controls based on incident patterns and root causes.","Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that management reviewed reports on an annual basis summarizing incidents, root cause of incidents, and corrective action plans and as part of the review, management identified the need for system changes and implementation of additional controls based on incident patterns and root causes.",
,308,System Operations,CC7.4,"Incidents that resulted in an unauthorized use or disclosure of personal information are communicated to the data subjects, legal and regulatory authorities, and others as required. ","Inquired of the GRC Team Contractor regarding incidents to determine that incidents that resulted in an unauthorized use or disclosure of personal information were communicated to the data subjects, legal and regulatory authorities, and others as required. ",
,,,,,"Inspected the privacy policies and procedures to determine that incidents that resulted in an unauthorized use or disclosure of personal information were communicated to the data subjects, legal and regulatory authorities, and others as required. ",
,,,,,"Inspected the supporting communication for a sample of critical security incidents that resulted in an unauthorized disclosure of personal information to determine that incidents that resulted in an unauthorized use or disclosure of personal information were communicated to the data subjects, legal and regulatory authorities, and others as required. ",
,309,System Operations,CC7.4,"The conduct of individuals and organizations involved in the unauthorized use or disclosure of personal information is evaluated and, if appropriate, sanctioned in accordance with entity policies and legal and regulatory requirements.","Inquired of the GRC Team Contractor regarding incidents to determine that the conduct of individuals and organizations involved in the unauthorized use or disclosure of personal information was evaluated and, if appropriate, sanctioned in accordance with entity policies and legal and regulatory requirements.",
,,,,,"Inspected the sanction and privacy policies and procedures to determine that the conduct of individuals and organizations involved in the unauthorized use or disclosure of personal information was evaluated and, if appropriate, sanctioned in accordance with entity policies and legal and regulatory requirements. ",
,,,,,"Inspected the supporting communication for a sample of critical security incidents that resulted in an unauthorized disclosure of personal information to determine that the conduct of individuals and organizations involved in the unauthorized use or disclosure of personal information was evaluated and, if appropriate, sanctioned in accordance with entity policies and legal and regulatory requirements. ",
,310,System Operations,CC7.5,Change management requests are opened for incidents that require permanent fixes. ,Inquired of the GRC Team Contractor regarding incidents to determine that change management requests were required to be opened for incidents that required permanent fixes.,
,,,,,Inspected the change management policies and procedures to determine that change management requests were required to be opened for incidents that required permanent fixes. ,
,,,,,Inspected the change ticket for an example incident that required a permanent fix to determine that change management requests were required to be opened for incidents that required permanent fixes.,
,311,System Operations,CC7.5,"The entity restores system operations for incidents impacting the environment through activities that include, but are not limited to:
•	Rebuilding systems
•	Updating software
•	Installing patches
•	Removing unauthorized access
•	Changing configurations","Inspected the information security, incident, backup, and change management policies and procedures, and the system build guides for critical systems to determine that the entity restored system operations for incidents impacting the environment through activities that included, but were not limited to:
•	Rebuilding systems
•	Updating software
•	Installing patches
•	Removing unauthorized access
•	Changing configurations",
,312,System Operations,CC7.5,Data backup and restore procedures are in place to guide personnel in performing backup activities.,Inspected the backup policies and procedures to determine that data backup and restore procedures were in place to guide personnel in performing backup activities.,
,313,System Operations,CC7.5,A data backup restoration test is performed on quarterly basis.,Inquired of the GRC Team Contractor regarding restoration testing to determine that a data backup restoration test was performed on a quarterly basis.,
,,,,,Inspected the completed backup restoration test for a sample of quarters to determine that a data backup restoration test was performed on a quarterly basis.,
,314,System Operations,CC7.5,"Management reviews reports on an annual basis summarizing incidents, root cause of incidents, and corrective action plans and as part of the review, management identifies the need for system changes and implementation of additional controls based on incident patterns and root causes.","Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that management reviewed reports on an annual basis summarizing incidents, root cause of incidents, and corrective action plans and as part of the review, management identified the need for system changes and implementation of additional controls based on incident patterns and root causes.",
,315,System Operations,CC7.5,"A security incident analysis is performed for critical incidents to determine the root cause, system impact and resolution.","Inspected the security incident analysis for a sample of critical security incidents to determine that a security incident analysis was performed for critical incidents to determine the root cause, system impact and resolution.",
,316,System Operations,CC7.5,"A business continuity and disaster recovery plan are documented to identify and reduce risks, limit the consequences of damaging incidents, and ensure the timely resumption of essential operations.","Inspected the business continuity and disaster recovery plans to determine that a business continuity and disaster recovery plan were documented to identify and reduce risks, limited the consequences of damaging incidents, and ensured the timely resumption of essential operations.",
,317,System Operations,CC7.5,The business continuity and disaster recovery plan are tested on an annual basis.,Inspected the completed business continuity and disaster recovery plan test results to determine that the business continuity and disaster recovery plan were tested on an annual basis.,
,318,System Operations,CC7.5,The business continuity and disaster recovery plan are updated based on business continuity and disaster recovery plan test results. ,"Inspected the business continuity and disaster recovery plans, including revision history, and the completed business continuity and disaster recovery test results to determine that the business continuity and disaster recovery plan were updated based on business continuity and disaster recovery plan test results. ",
,319,Change Management,CC8.1,Documented change control policies and procedures are in place to guide personnel in the change management process.,Inspected the change management policies and procedures to determine that documented change control policies and procedures were in place to guide personnel in the change management process.,
,320,Change Management,CC8.1,"The change management process has defined the following roles and assignments:
•	Authorization of change requests - Change management and stakeholders
•	Development - Developers
•	Testing - Cloud Hosting Team
•	Approvals - Management
•	Implementation - Assigned by the Cloud Hosting Team","Inspected the change management policies and procedures to determine that the change management process defined the following roles and assignments:
•	Authorization of change requests - change management and stakeholders
•	Development - Developers
•	Testing - Cloud Hosting Team
•	Approvals - Management
•	Implementation - Assigned by the Cloud Hosting Team",
,321,Change Management,CC8.1,System changes are communicated to both affected internal and external users.,Inspected the change ticket for a sample of system changes to determine that system changes were communicated to both affected internal and external users.,
